unknown,auer1995a,"p. auer, n. cesa-bianchi, y. freund, and r. e. schapire,",,"gambling in a rigged casino: the adversarial multi-armed bandit problem,'",,"in proc. 36th annual symposium on foundations of computer science,","los alamitos, ca:","ieee computer society press,","1995,","pp. 322-331.",,,
unknown,haussler1994a,"d. haussler, m. kearns, and r. e. schapire.",14(1),"bounds on the sample complexity of bayesian learning using information theory and the vc dimension.",,"machine learning,",,,1994,"83-113,",,,
unknown,haussler1994a,"d. haussler, m. kearns, and r. schapire.",,"bounds on the sample complexity of bayesian learning using information theory and the vc dimension.",,"machine learning,",,,,,,"to appear.",
unknown,haussler1994a,"d. haussler, m. kearns, and r. schapire.",14,"bounds on the sample complexity of bayesian learning using information theory and the vc dimension.",,"machine learning,",,,1994,"84-114,",,,
unknown,haussler1994a,"d. haussler, m. kearns, and r. e. schapire.",14(1),"bounds on the sample complexity of bayesian learning using information theory and the vc dimension.",,"machine learning,",,,1994,"83-113,",,,
unknown,haussler1994a,"d. haussler, m. kearns, and r. e. schapire.",14(1),"bounds on the sample complexity of bayesian learning using information theory and the vc dimension.",,"machine learning,",,,1994,"83-113,",,,
unknown,haussler1994a,"d. haussler, m. kearns, and r. schapire.",14(1),"bounds on the sample complexity of bayesian learning using information thjeory and the vc dimension.",,"machine learning,",,,1994,"83-113,",,,
unknown,haussler1994a,"d. haussler, m. kearns, r.","14, 83,","schapire,",,"machine learning,",,,(1994).,,,,
unknown,haussler1994a,"d. haussler, m kearns, and r. shapire.",14(1),"bounds on the sample complexity of bayesian learning using information theory and the vc dimension.",,"machine learning journal,",,,1994,"83-113,",,,
unknown,haussler1994a,"d. haussler, m. kearns, and r. schapire.",14,"bounds on the sample complexity of bayesian learning using information theory and the vc dimension.",,"machine learning,",,,1994,"84-114,",,,
unknown,haussler1994a,"david haussler, michael kearns, and robert e. schapire.",14,"bounds on the sample complexity of bayesian learning using information theory and the vc dimension.",,"machine learning,",,,1994,"83-113,",,,
unknown,haussler1994a,"d. haussler, m. kearns, and r. schapire.",,"bounds on the sample complexity of bayesian learning using information theory and the vc dimension.",,"machine learning.",,,,,,"to appear.",
unknown,haussler1994a,"d. haussler, m. kearns, and r. schapire.",,"bounds on the sample complexity of bayesian learning using information theory and the vc dimension.",,"machine learning,",,,,,,"to appear.",
unknown,haussler1996,"d. haussler, m. kearns, h.s. seung, and n. tishby.",25,"rigourous learning curve bounds from statistical mechanics.",,"machine learning,",,,1996,"195-236,",,,
unknown,haussler1996,"david haussler, michael kearns, h. sebastian seung, and naftali tishby.",,"rigorous learning curve bounds from statistical mechanics.",,"machine learning,","25:195--236,",,1996,,,,
unknown,haussler1996,"d. haussler, m. kearns, h.s. seung, and n. tishby.",25,"rigorous learning curve bounds from statistical mechanics.",,"machine learning,",,,1996,"195-236,",,,
unknown,helmbold1995,"d.p. helmbold and r.e. schapire.",,"predicting nearly as well as the best pruning of a decision tree.",,"in proceedings of the eighth annual conference on computational learning theory,",,,1995,"pages 61-68,",,,
unknown,helmbold1995,"david p. helmbold and robert e. schapire.",,"predicting nearly as well as the best pruning of a decision tree.",,"in proceedings of the eighth annual conference on computational learning theory,",,,1995,"pages 61-68,",,,
unknown,helmbold1995,"david p. helmhold and robert e. schapire.",,"predicting nearly as well as the best pruning of a decision tree.",,"in proceedings of the 8th annual conference on computational learning theory,","new york, ny, 1995.","acm press.",,"pages 61-68,",,,
unknown,helmbold1995,"david p. helmbold and robert e. schapire.",,"predicting nearly as well as the best pruning of a decision tree.",,"proceedings of the eighth annual conference on computational learning theory,",,"acm press,",1995,"pages 61 - 68,",,,
unknown,helmbold1995,"d. p. helmbold and r. e. schapire.",,"predicting nearly as well as the best pruning of a decision tree.",,"in proc. 6th annu. conf. on comput. learning theory,","new york, ny,","acm press,",1995,"pages 61-68.",,,july
unknown,helmbold1995,"d. p. helmbold and r. e. schapire.",,"predicting nearly as well as the best pruning of a decision tree.",,"to appear in the proceedings of the eighth annual conference on computational learning theory,","santa cruz,",,1995,,,,july
unknown,helmbold1995a,"david p. helmbold, robert e. schapire, yoram singer, and manfred k. warmuth.",,"a comparison of new and old algorithms for a mixture estimation problem.",,"in proceedings of the eighth annual conference on computational learning theory,",,,1995,"pages 69-78,",,,
unknown,helmbold1995a,"d. p. helmbold, r. e. schapire, y. singer, and m. k. warmuth.",,"a comparison of new and old algorithms for a mixture estimation problem.",,"in proceedings of the eighth annual workshop on computational learning theory,",,,1995,"pages 69-78,",,,
unknown,helmbold1995a,"d.p. helmbold, r.e. schapire, y. singer,",,"m.k. warmuth, a comparison of new and old algorithms for a mixture estimation problem,",,"appearing in proc. of the eighth annual conf. on computational learning theory,",,,1995,,,,july
unknown,helmbold1995a,"d. p. helmbold, r. e. schapire, y. singer, and m. k. warmuth.",,"a comparison of new and old algorithms for a mixture estimation problem.",,"in proceedingsof the eighth annual workshop on computationallearning theory,",,,1995,"pages 69-78,",,,
unknown,helmbold1995a,"d. helmbold, r. e. schapire, y. singer, and m. k. warmuth.",,"a comparison of new and old algorithms for a mixture estimation problem.","university of california, santa cruz, computer research laboratory,","technical report ucsc-crl-95-50,",,,1995,,,"an extended abstract appeared in colt '95.",october
unknown,helmbold1996,"d. helmbold, r. e. schapire, y. singer, and m. k. warmuth.",,"on-line portfolio selection using multiplicative upyears.",,"in proc. 13th international conference on machine learning,","san francisco,","morgan kaufmann,",1996,"pages 243-251.",,,
unknown,helmbold1996,"d. helmbold, r. schapire, y. singer, and m. war muth.",,"on-line portfolio selection using multiplicative upyears.",,"in machine learning: proceedings of the 13th international conference.",,,1996,,,,
unknown,helmbold1996,"d. helmbold, r. schapire, y. singer, and m. war-muth.",,"on-line portfolio selection using multiplicative upyears.",,"in machine learning: proceedings of the 13th international conference.",,,1996,,,,
unknown,helmbold1996,"helmbold, d. p., r. e. schapire, y. singer and m. k.",,"warmuth (1996). on-line portfolio selection using multilpicative upyears.",,"in: machine learning: proceedings of the thirteenth international conference.",,,1997,,,,"revised july,"
unknown,helmbold1996,"helmbold, d. p., schapire, r. e., singer, y., and warmuth, m. k.",,"on-line portfolio selection using multiplicative upyears,",,"in 'proceedings, 13th international conference on machine learning,'","san francisco (to appear).","morgan kaufmann,","(1996c),",,,,
unknown,helmbold1996,"helmbold, d. p., schapire, r. e., singer, y., and war-muth, m. k.",,"on-line portfolio selection using multiplicative upyears.",,"in machine learning: proceedings of the thirteenth international conference.",,,1997,,,,"revised july,"
unknown,helmbold1996,"d. helmbold, r. e. schapire, y. singer, and m. k. warmuth,",,"on-line portfolio selection using multiplicative upyears,'",,"in proc. 13th international conference on machine learning,","san francisco:","morgan kaufmann,","1996,","pp. 243-251. 35",,,
unknown,helmbold1996,"d. p. helmbold, r. e. schapire, y. singer, and m. k. war-muth.",,"on-line portfolio selection using multiplicative upyears.",,"in proc. of the thirteenth intl. conf. on machine learning,",,,1996,,,,
unknown,helmbold1996,"d. helmbold, r. e. schapire, y. singer, and m. k. warmuth.",,"on-line portfolio selection using multiplicative upyears.",,"in proc. 13th international conference on machine learning,","san fran-cisco,","morgan kaufmann,",1996,"pages 243251.",,,july
unknown,helmbold1996a,"helmbold, d. p., schapire, r. e., singer, y., and warmuth, m. k.",,"a comparison of new and old algorithms for a mixture estimation problem,",,,,,"(1996b),",,,"machine learning (to appear).",
unknown,helmbold1997,"helmbold, d. p., & schapire, r. e.","27,","predicting nearly as well as the best pruning of a decision tree.",,"machine learning,",,,(1997).,51-68.,,,
unknown,helmbold1997,"d.p. helmbold and r.e. schapire.",27(1),"predicting nearly as well as the best pruning of a decision tree.",,"machine learning,",,,1997,"51-68,",,,
unknown,helmbold1997c,"d.p. helmbold, r.e. schapire, y. singer, and m.k. warmuth.",,"a comparison of new and old algorithms for a mixture estimation problem.",,"machine learning,","27:97119,",,1997,,,"4 available from http://www.sgi.com/technology/mlc/.",
unknown,helmbold1997c,"d. p. helmbold, r. e. schapire, y. singer, and m. k. warmuth.",27(1),"a comparison of new and old algorithms for a mixture estimation problem.",,"machine learning,",,,1997,"97-119,",,,
unknown,helmbold1997c,"d. helmbold, r. e. schapire, y. singer, and m. k. warmuth,","vol. 27,","a comparison of new and old algorithms for a mixture estimation problem,'",,"machine learning,",,,1997,"pp. 97-119,",,,
unknown,helmbold1997c,"d. helmbold, r. e. schapire, y. singer, and m. k. warmuth.",,"a comparison of new and old algorithms for a mixture estimation problem.",,"machine learning,",,,1997,,,"to appear.",
unknown,kautz1993,"h. kautz, m. kearns, and b. selman.",,"reasoning with characteristic models.",,"in aaai-93,",,,,"pages 34-39.",,,
unknown,kautz1993,"kautz, h. a., kearns, m. j., & selman.",,"b (1993). reasoning with characteristic models.",,"in proceedings of aaai-1993,",,,,34-39.,,,
unknown,kautz1993,"kautz, h., kearns, m., and selman, b.",,"reasoning with characteristic models.",,"in proc. of the national conference on artificial intelligence (1993),",,,1993,"pp. 34-39.",,,
unknown,kautz1993,"kautz, h., m. kearns, and b. selman.",,"reasoning with characteristic models.",,"in proceedings of the national conference on artificial intelligence,",,,1993,"pages 34-39.",,,
unknown,kautz1993,"kautz, h.; kearns, m.; and selman, b.",,"reasoning with characteristic models.",,"in proceedings of the national conference on artificial intelligence,",,,1993,34-39.,,,
unknown,kautz1993,"h.a. kautz, m.j. kearns, b. selman.",,"reasoning with characteristic models.",,"proceedings of aaai,",,,1993,,,,
unknown,kautz1993,"kautz, henry; kearns, michael; and selman,",,"bart 1993. reasoning with characteristic models.","at&t bell laboratories,","technical report,","murray hill, nj.",,,,,,
unknown,kautz1993,"h. kautz, m. kearns, and b. selman,",,"reasoning with characteristic models,",,"proceedings aaai-93 , washington,","dc (1993) 34-39.",,,,,,
unknown,kautz1993,"h. kautz, m. kearns, and b. selman.",,"reasoning with characteristic models.",,"in proceedings of the national conference on artificial intelligence,",,,1993,"pages 34-39,",,,
unknown,kautz1993,"h. a. kautz, m. j. kearns, and b. selman.",,"reasoning with characteristic models.",,"in proceedings of the 11th national conference on artificial intelligence,","washington, dc, july 1993.","aaai press.",,"pages 34-39,",,,
unknown,kautz1995,"kautz, h. a., kearns, m. j., & selman.","vol. 74,","b (1995) horn approximations of empirical data.",,"artificial intelligence,",,,,129-145.,,,
unknown,kautz1995,"kautz, h., kearns, m., & selman, b.","74,","horn approximations of empirical data.",,"artificial intelligence,",,,(1995).,129-145.,,,
unknown,kautz1995,"kautz, h., kearns, m., and selman, b.","vol. 74,","horn approximations of empirical data.",,"artificial intelligence,",,,"1995,",129-145.,,,
unknown,kautz1995,"kautz, h., kearns, m., and selman, b.",,"horn approximations of empirical data.",,"artificial intelligence 74,",,,1995,129-145.,,,
unknown,kautz1995,"kautz, h., m. kearns, and b. selman.",,"horn approximations of empirical data.",,"artificial intelligence. forthcoming.",,,1994,,,,
unknown,kautz1995,"kautz, h., m. kearns, and b. selman.",74,"horn approximations of empirical data.",,"artificial intelligence,",,,1995,129-145.,,,
unknown,kautz1995,"kautz, h.; kearns, m.; and selman, b.",,"horn approximations of empirical data.",,"artificial intelligence. forthcoming.",,,1994,,,,
unknown,kautz1995,"h.a. kautz, m.j. kearns, b. selman.",,"horn approximations of empirical data.",,"artificial intelligence,",,,1994,,,,
unknown,kautz1995,"henry a. kautz, michael j. kearns, and bart selman.",74,"horn approximations of empirical data.",,"artificial intelligence,",,,1994,"129-145,",,,
unknown,kautz1995,"kautz, henry a.; kearns, michael j.; and selman, bart ppear.",,"horn approximations of empirical data.",,"artificial intelligence.",,,,,,,
unknown,kautz1995,"henry a. kautz, michael j. kearns and bart selman,",,"horn approximations of empirical data,",,"artif. intell.",,,,,,"(to appear).",
unknown,kautz1995,"h. kautz, m. kearns, and b. selman.",,"horn approximations of empirical data.",,"artificial intelligence,",,,1994,,,,forthcoming.
unknown,kautz1995,"h. kautz, m. kearns and b. selman.","74 (1995), 129 - 145.","horn approximations of empirical data,",,"artificial intelligence,",,,,,,,
unknown,kautz1995,"h. kautz, m. kearns, and b. selman.",74,"horn approximations of empirical data.",,"artificial intelligence,",,,1995,"129-145,",,,
unknown,kautz1995,"h. kautz, m. kearns, and b. selman.",74,"horn approximations of empirical data.",,"artificial intelligence,",,,1995,"129-145,",,,
unknown,kautz1995,"henry kautz, michael kearns, and bart selman.",74,"horn approximations of empirical data.",,"artificial intelligence,",,,1995,"129-145,",,,
unknown,kearns1987,"m. kearns, m. li, l. pitt, and l. g. valiant.",,"on the learnability of boolean formulae.",,"in proceedings of the nineteenth annual acm symposium on theory of computing,","new york, new york,",,1987,"pages 285-295,",,,may
unknown,kearns1987,"m. kearns, m. li, l. pitt, and l. valiant.",,"on the learnability of boolean formu lae.",,"in proceedings of the nineteenth annual acm symposium on the theory of computing,","new york, new york,",,1987,"pages 285-295,",,,may
unknown,kearns1987,"m. kearns, m. li, l. pitt, and l. valiant.",,"on the learnability of boolean formulae.",,"in proceedings of the nineteenth annual acm symposium on the theory of computing,","new york, new york,",,1987,"pages 285-295,",,,may
unknown,kearns1987,"kearns, m. j., li, m., pitt, l., and valiant, l.",,"on the learnability of boolean formulae.",,"in proceedings of the nineteenth annual acm symposium on theory of computing (stoc-87),",,,1987a.,"pages 285-295.",,,
unknown,kearns1987,"kearns, m., li, m., pitt, l., & valiant, l.",,"on the learnability of boolean formulae.",,"proceedings of the nineteenth annual acm symposium on theory of computing (pp.",,,(1987).,285-295).,,,
unknown,kearns1987,"kearns, m., li, m., pitt, l., & valiant, l.g.",,"on the learnability of boolean formulae.",,"in proceedings of the nineteenth annual acm symposium on theory of computing,","new york, ny:","acm press.",(1987).,"(pp. 285-295).",,,
unknown,kearns1987,"kearns, m., li, m., pitt, l., and valiant, l.",,"on the learnability of boolean formula.",,"in proceedings of the nineteenth annual acm symposium on the theory of computing (pp.","new york city: ny:","acm press.",1987,285-295).,,,
unknown,kearns1987,"m. kearns, m. li, l. pitt, and l.",,"valiant [1987]. 'on the learnability of boolean formul,'",,"proceedings of the 19th annual acm symposium on theory of computing,","new york (1987),",,,285-295.,,,
unknown,kearns1987,"m. kearns, m. li, l. pitt, and l.g. valiant,",,"on the learnability of boolean formulae.",,"proceedings of the 19th annual symposium on the theory of computation,",,,"1987,",285-295.,,,
unknown,kearns1987,"michael kearns, ming li, leonard pitt, and leslie valiant.",,"on the learnability of boolean formulae.",,"in proceedings of the 19th symposium on the theory of computations,","new york,",,1987,"pages 285-295,",,,may
unknown,kearns1987,"m. kearns, m. li, l. pitt, and l. valiant,",,"on the learnability of boolean formulae.",,"proc. 19th acm symposium on theory of computing (1987) 285-295.",,,,,,,
unknown,kearns1987,"m. kearns, m. li, l. pitt, and l. valiant.",,"on the learn-ability of boolean formulae.",,"in proc. 19th stoc,",,"acm,",1987,"pages 285-295.",,,
unknown,kearns1987,"michael kearns, ming li, lenny pitt and leslie g. valiant.",,"on the learnability of boolean formulae.",,"in proceedings of the 19th annual acm symposium on theory of computing,",,,1987,"pages 285-295,",,,
unknown,kearns1987,"michael kearns, ming li, leonard pitt, and leslie valiant.",,"on the learnability of boolean formulae.",,"in proceedings of the nineteenth annual acm symposium on theory of computing,",,,1987,"pages 285-295,",,,may
unknown,kearns1987,"m. kearns, m. li, l. pitt, l.g. valiant.",,"on the learnability of boolean formulae.",,"proceedings of the 19th a.c.m. symposium on the theory of computing,",,,"1987,","pp. 285-295.",,,
unknown,kearns1987,"m. kearns, m. li, l. pitt, and l. g. valiant.",,"on the learnability of boolean formulae.",,"in proceedings of the nineteenth annual acm symposium on theory of computing,","new york, new york,",,1987,"pages 285-295,",,,may
unknown,kearns1987,"kearns, m., li, m., pitt, l. & valiant, l. g.",,"on the learnability of boolean formulae.",,"in proceedings of the nineteenth annual acm symposium on theory of computing (pp.","new york, ny:","acm press.",(1987).,285-295).,,,
unknown,kearns1987,"kearns, m., li, m., pitt, l., and valiant, l.,",,"on the learnability of boolean formulae,'",,"proc. of the 19th acm symp. theory of computing,",,,"1987,","pp. 285-295.",,,
unknown,kearns1987,"m. kearns, m. li, l. pitt, and l. g. valiant.",,"on the learnability of boolean formulae.",,"in proc. of the 19 th annual acm stoc,",,,1987,,,,
unknown,kearns1987,"michael kearns, ming li, leonard pitt, and leslie valiant.",,"on the learnability of boolean formulae.",,"in proceedings of the nineteenth annual acm symposium on theory of computing,",,,1987,"pages 285-295,",,,may
unknown,kearns1987,"m. j. kearns, m. li, l. pitt, and l. valiant,",,"on the learnability of boolean formula,",,"in 'proceedings, 19th acm symposium on theory of computing,",,,"1987,'","pp. 285-295.",,,
unknown,kearns1987,"m. kearns, m. li, l. pitt, and l. valiant.",,"on the learnability of boolean formulae.",,"in proc. 19th acm symposium on theory of computing,",,"acm press,",1987,"pages 285-295.",,,
unknown,kearns1987,"m. kearns, m. li, l. pitt, and l.g. valiant.",,"on the learn-ability of boolean formulae.",,"proceedings of the 19th annual symposium on the theory of computation,",,,1987,"pages 285295,",,,
unknown,kearns1987,"m. kearns, m. li, l. pitt, l.g. valiant.",,"on the learnability of boolean formulae.",,"proceedings of the 19th a.c.m. symposium on the theory of computing,",,,"1987,","pp. 285-295.",,,
unknown,kearns1987,"michael kearns, ming li, leonard pitt, and leslie valiant.",,"on the learnability of boolean formulae.",,"in proceedings of the nineteenth annual acm symposium on theory of computing,","new york, new york,",,1987,"pages 285-295,",,,may
unknown,kearns1987,"m. kearns, m. li, l. pitt, and l. valiant.",,"on the learnability of boolean formulae.",,"in proc. 19th annu. acm sympos. theory comput.,","new york, ny,","acm press,",1987,"pages 285-294.",,,
unknown,kearns1987,"michael kearns, ming li, leonard pitt, and leslie valiant.",,"on the learnability of boolean formulae.",,"in proceedings of the nineteenth annual acm symposium on theory of computing,","new york, new york,",,1987,"pages 285-295,",,,may
unknown,kearns1987,"m. kearns, m. li, l. pitt, and l. valiant,",,"on the learnability of boolean formulae,",,"in proc. 19 th acm symposium on theory of computing,",,"acm,",1987,"pages 285-295.",,,
unknown,kearns1987,"kearns, m., m. li, l. pitt, l. valiant,",,"on the learnability of boolean formulae',",,"19th acm symposium on the theory of computing,","new york, ny,",,"1987,","pp. 285-295.",,,
unknown,kearns1987,"m. kearns, m. li, l. pitt, and l. g. valiant.",,"on the learnability of boolean formulae.",,"in stoc-87,",,,1987,"pages 285-295,",,,
unknown,kearns1987,"m. kearns, m. li, l. pitt, and l. valiant.",,"on the learnability of boolean formulae.",,"in proc. 19th annu. acm sympos. theory comput.,","new york, ny,","acm press,",1987,"pages 285-294.",,,
unknown,kearns1987,"m. kearns, m. li, l. pitt, and l. valiant.",,"on the learnability of boolean formulae.",,"in proceedings of the nineteenth annual acm symposium on theory of computing,",,"acm press,","1987,","pp. 285-295.",,,
unknown,kearns1987,"m. kearns, m. li, l. pitt, and l. valiant.",,"on the learnability of boolean formulae.",,"in stoc-87, p.",,,1987,"285-295,",,,
unknown,kearns1987,"michael kearns, ming li, leonard pitt, and leslie valiant.",,"on the learnability of boolean formulae.",,"in proceedings of the nineteenth annual acm symposium on theory of computing,","new york, new york,",,1987,"pages 285-295,",,,may
unknown,kearns1987,"michael kearns, ming li, leonard pitt, and leslie valiant.",,"on the learnability of boolean formulae.",,"in proceedings of the 19th symposium on the theory of computations,","new york,",,1987,"pages 285-295,",,,may
unknown,kearns1987,"m. kearns, m. li, l. pitt, l.g. valiant.",,"on the learnability of boolean formulae.",,"proceedings of the 19th a.c.m. symposium on the theory of computing,",,,"1987,","pp. 285-295.",,,
unknown,kearns1987,"kearns, m., m. li, l. pitt and l. valiant,",,"on the learnability of boolean formula,",,"proceedings of the 19th annual acm symposium on theory of computing,",,,1987,"pp. 285-95,",,,
unknown,kearns1987b,"kearns, m. j., li, m., pitt, l., and valiant, l.",,"recent results on boolean concept learning.",,"in proceedings of the fourth international conference on machine learning (ml-87),",,,1987b.,"pages 337-352.",,,
unknown,kearns1987b,"kearns, m., li, m., pitt, l., & valiant, l. g.",,"recent results on boolean concept learning.",,"proceedings of the fourth international workshop on machine learning (pp.","irvine, ca:","morgan kauf-mann.",(1987).,337-352).,,,
unknown,kearns1987b,"kearns, m., li, m., pitt, l., & valiant, l. g.",,"recent results on boolean concept learning.",,"proceedings of the fourth international workshop on machine learning (pp.","irvine, ca:","morgan kaufmann.",(1987).,337-352).,,,
unknown,kearns1987b,"m. kearns, m. li, l. pitt, and l. valiant.",,"recent results on boolean concept learning.",,"proceedings of the fourth international workshop on machine learning,","los altos california).","(published by morgan kaufmann,",,"pages 337-352,","in p. langley, editor,",,
unknown,kearns1987b,"michael kearns, ming li, leonard pitt, and leslie valiant.",,"recent results on boolean concept learning.","university of california, irvine,","in proceedings of the fourth international workshop on machine learning,",,,1987,"pages 337-352,",,,june
unknown,kearns1987b,"m. kearns, m. li, l. pitt, l.g. valiant.",,"recent results on boolean concept learning.",,"proceedings of the 4th international workshop on machine learning,",,"morgan kaufmann publishers,","1987,","pp. 337-352.",,,
unknown,kearns1988,"kearns, m. j. and li, m.",,"learning in the presence of malicious errors.",,"in proceedings stoc-88.",,,(1988).,,,,
unknown,kearns1988,"kearns, m. j. and li, m.",,"learning in the presence of malicious errors.",,"in proceedings of the twentieth annual acm symposium on theory of computing (stoc-88),",,,1988,"pages 267-280.",,,
unknown,kearns1988,"kearns, m. and li, m.",,"learning in the presence of malicious errors.",,"in proceedings of the twentieth annual acm symposium on theory of computing (chicago,","illinois,",,"1988),","pp. 267-280.",,,may
unknown,kearns1988,"m. kearns and m.",,"learning in the presence of malicious errors,'",,"proceedings of the 20th annual acm symposium on theory of computing, chicago (1988),",,,[1988].,267-280.,,,li
unknown,kearns1988,"m. kearns and m. li,",,"learning in the presence of malicious errors.",,"proceedings of the 20th acm symposium on the theory of computation,",,,(1988).,"pages 267-279.",,,
unknown,kearns1988,"m. kearns and m. li.",,"learning in the presence of malicious errors.",,"in proc. 20th annu. acm sympos. theory comput.,","new york, ny,","acm press,",1988,"pages 267-280.",,,
unknown,kearns1988,"m. kearns, m. li,",,"learning in the presence of malicious errors,",,,,,,,,"stoc 1988",
unknown,kearns1988,"m. kearns, m. li.",,"learning in the presence of malicious errors.",,"proceedings of the 20th a.c.m. symposium on the theory of computing,",,,"1988,","pp. 267-280.",,,
unknown,kearns1988,"m. kearns, and m. li,",,"learning in the presence of malicious errors,",,"in: proceedings of the 20th annual acm symposium on the theory of computation,","chicago, illinois (1988) 267-279.",,,,,,
unknown,kearns1988,"michael kearns and ming li.",,"learning in the presence of malicious errors.",,"in proceedings of the 20 th annual acm symposium on theory of computing,","chicago, illinois,",,1988,,,,may
unknown,kearns1988,"michael kearns and ming li.",,"learning in the presence of malicious errors.",,"in proceedings of the twentieth annual acm symposium on theory of computing,",,,1988,"pages 267-280,",,,may
unknown,kearns1988,"michael kearns and ming li.",,"learning in the presence of malicious errors.",,"in proceedings of the twentieth annual acm symposium on theory of computing,","chicago, illinois,",,1988,,,,may
unknown,kearns1988,"michael kearns and ming li.",,"learning in the presence of malicious errors.",,"in proceedings of the twentieth annual acm symposium on theory of computing,",,,1988,"pages 267-280,",,"to appear, siam journal on computing.",may
unknown,kearns1988,"michael kearns and ming li.",,"learning in the presence of malicious errors.",,"in proceedings of the twentieth annual acm symposium on theory of computing,","chicago, illinois,",,1988,"pages 267-280,",,,may
unknown,kearns1988,"michael kearns and ming li.",,"learning in the presence of malicious errors.",,"in proceedings of the twentieth annual acm symposium on theory of computing,",,,1988,,,,168
unknown,kearns1988,"michael kearns and ming li.",,"learning in the presence of malicious errors.",,"in proceedings of the twentieth annual acm symposium on theory of computing,",,,1988,,,,33
unknown,kearns1988,"michael kearns and ming li.",,"learning in the presence of malicious errors.",,"in proceedings of the twentieth annual acm symposium on theory of computing,",,,1988,,,,
unknown,kearns1988,"michael kearns and ming li.",,"learning in the presence of malicious errors.",,"in proceedings of the twentieth annual acm symposium on theory of computing,","chicago, illinois,",,1988,,,,may
unknown,kearns1988,"kearns, m., m. li,",,"learning in the presence of malicious errors',",,"20th acm symposium on the theory of computing,","chicago, il,",,"1988,","pp. 267-280.",,,
unknown,kearns1988,"m. kearns and m. li.",,"learning in the presence of malicious errors.",,"in proc. 20th annu. acm sympos. theory comput.,","new york, ny,","acm press,",1988,"pages 267-280.",,,
unknown,kearns1988,"m. kearns and m. li.",,"learning in the presence of malicious errors.",,"proceedings of the 20th acm symposium on the theory of computation,",,,1988,"pages 267-279,",,,15
unknown,kearns1988,"michael kearns and ming li.",,"learning in the presence of malicious errors.",,"in proceedings of the 20 th annual acm symposium on theory of computing,","chicago, illinois,",,1988,,,,may
unknown,kearns1988,"michael kearns and ming li.",,"learning in the presence of malicious errors.",,"in proceedings of the twentieth annual acm symposium on theory of computing,","chicago, illinois,",,1988,,,,may
unknown,kearns1988,"michael kearns and ming li.",,"learning in the presence of malicious errors.",,"in proceedings of the twentieth annual acm symposium on theory of computing,","chicago, illinois,",,1988,"pages 267-280,",,,may
unknown,kearns1988b,"michael kearns.",,"thoughts on hypothesis boosting.",,"(unpublished),",,,1988,,,,december
unknown,kearns1988b,"kearns, m., l.g. valiant,",,"learning boolean formulae or finite automata is as hard as factoring',","aiken computation laboratory, harvard university,","technical report tr-14-88,",,,1988,,,,
unknown,kearns1988b,"m. kearns and l.g. valiant.",,"learning boolean formulae or finite automata is as hard as factoring.","harvard university aiken computation laboratory,","technical report tr-14-88,","cambridge, ma,",,1988,,,,
unknown,kearns1988b,"michael kearns and leslie g. valiant.",,"learning boolean formulae or finite au tomata is as hard as factoring.","harvard university aiken computation laboratory,","technical report tr 14-88,",,,1988,,,,
unknown,kearns1988b,"m. kearns and l.g. valiant.",,"learning boolean formulae or finite automata is as hard as factoring.","harvard university aiken computation laboratory,","technical report tr-14-88,","cambridge, ma,",,1988,,,,
unknown,kearns1989,"m. kearns and l. g. valiant.",,"cryptographic limitations on learning boolean formulae and finite automata.",,"in proceedings of the 21 st annual acm symposium on theory of computing,","new york,",,1989,"pages 433444,",,,
unknown,kearns1989,"m. kearns and l. valiant.",,"(1989) cryptographic limitations on learning boolean formulae and finite automata.",,,,stoc-89.,,,,,
unknown,kearns1989,"kearns, m. & valiant, l.",,"cryptographic limitations on learning boolean for mulae and finite automata.",,"in proceedings of the 21st annual acm symposium on theory of computing.",,"acm press.",(1989).,,,,
unknown,kearns1989,"kearns, m. j. and valiant, l. g.",,"cryptographic limitations on learning boolean formulae and finite automata.",,"in proceedings of the twenty first annual acm symposium on theory of computing (stoc-89),",,,1989,"pages 433-444.",,,
unknown,kearns1989,"kearns, m. and valiant, l. g.,",,"cryptographic limitations on learning boolean formulae and finite automata,",,"in proceedings of 21 st annual acm symposium on theory of computing,",,"assoc. com-put. mach.,",1989,,,,
unknown,kearns1989,"kearns, m., & valiant, l.",,"cryptographic limitations on learning boolean formulae and finite automata.",,"in proceedings of the twenty-first annual acm symposium on theory of computing,","seattle, wa:","acm press.",(1989).,"(pp. 433-444).",,,
unknown,kearns1989,"kearns, m., & valiant, l. g.",,"cryptographic limitations on learning boolean formulae and finite automata.",,"pages 433-444 of: proceedings of the 21 st annual acm symposium on theory of computing. acm,","new york.",,1989).,,,,(may
unknown,kearns1989,"kearns, m., and valiant, l. g.",,"cryptographic limitations on learning boolean formulae and finite automata.",,"in proceedings of the 21 st annual acm symposium on theory of computing,","new york:",acm.,1989,433-444.,,,
unknown,kearns1989,"m. kearns and l. valiant.",,"(1989) cryptographic limitations on learning boolean formulae and finite automata.",,,,stoc-89.,,,,,
unknown,kearns1989,"m. kearns and l. valiant.",,"cryptographic limitations on learning boolean formulae and finite automata.",,"in proceedings of the 21 st annual acm symposium on theory of computing,",,,1989,,,,
unknown,kearns1989,"kearns, m., and valiant, l.,",,"cryptographic limitations on learning boolean formulae and finite automata',",,"in: proc. 21st ann. acm symp. on theory of computing (1989) 433-444.",,,,,,,
